OBJECTID,id,grid_4ha_id,lon,lat,lp_ext_2012,lp_ext_2015,lp_ext_2018,lp_ext_2022,du_cnt_2012,du_cnt_2015,du_cnt_2018,du_cnt_2022,clq_ext_sqm_2012,clq_ext_sqm_2015,clq_ext_sqm_2018,clq_ext_sqm_2022,mlt_ext_sqm_2012,mlt_ext_sqm_2015,mlt_ext_sqm_2018,mlt_ext_sqm_2022,sq_ext_sqm_2012,sq_ext_sqm_2015,sq_ext_sqm_2018,sq_ext_sqm_2022,du_cnt_w_clq_mlt_2012,du_cnt_w_clq_mlt_2015,du_cnt_w_clq_mlt_2018,du_cnt_w_clq_mlt_2022,dens_grs_duha_2012,dens_grs_duha_2015,dens_grs_duha_2018,dens_grs_duha_2022,d_dens_grs_duha_12_15,d_dens_grs_duha_12_18,d_dens_grs_duha_12_22,d_dens_grs_duha_15_18,d_dens_grs_duha_15_22,d_dens_grs_duha_18_22,DISTRICTNA,Shape_Length,Shape_Area
22647,4623,W46C_14_22647,18.49431969,-34.03176286,3672.869069,3672.869069,175.4572068,3672.869069,17,19,20,27,0,0,63,63,0,0,0,0,0,0,0,0,17,19,23.15,30.15,4,4,5,6,0,1,2,1,2,1,Cape Flats,800.0000185,40000.00185
22649,7536,W46C_14_22649,18.49865086,-34.0317806,394.7986073,394.7986073,394.7986073,394.7986073,26,26,26,28,4,4,4,24,0,0,0,0,0,0,0,0,26.2,26.2,26.2,29.2,6,6,6,7,0,0,1,0,1,1,Cape Flats,799.9999883,39999.99883
22650,7530,W46C_14_22650,18.50081644,-34.03178941,469.0168577,469.0168577,469.0168577,469.0168577,124,126,126,128,0,0,0,44,0,0,0,0,36,0,0,33,124,126,126,130.2,31,31,31,32,0,0,1,0,1,1,Cape Flats,800.0000185,40000.00185
22651,7533,W46C_15_22651,18.50298202,-34.03179818,433.7224622,433.7224622,433.7224622,433.7224622,7,7,7,7,0,0,12,12,0,0,0,0,0,0,21,21,7,7,7.6,7.6,1,1,1,1,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
22652,7542,W46C_15_22652,18.50514761,-34.03180692,428.1781442,428.1781442,428.1781442,428.1781442,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,1,1,1,1,0,0,0,0,0,0,Cape Flats,799.9999883,39999.99883
22653,7543,W46C_15_22653,18.50731319,-34.03181561,356.608292,356.608292,356.608292,356.608292,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
22654,7524,W46C_15_22654,18.50947878,-34.03182427,482.8099842,482.8099842,482.8099842,482.8099842,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,2,2,2,2,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
22655,7526,W46C_15_22655,18.51164437,-34.03183289,481.7523582,481.7523582,481.7523582,481.7523582,38,37,37,37,0,0,7,7,0,0,0,0,0,0,0,0,38,37,37.35,37.35,9,9,9,9,0,0,0,0,0,0,Cape Flats,799.9999883,39999.99883
22656,7527,W46D_11_22656,18.51380996,-34.03184147,630.3394249,630.3394249,630.3394249,630.3394249,40,40,42,43,0,0,0,0,0,0,0,0,34,34,34,34,40,40,42,43,10,10,10,10,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
22657,7528,W46D_11_22657,18.51597554,-34.03185001,616.0502707,616.0502707,616.0502707,616.0502707,45,46,47,49,13,13,25,25,0,0,0,0,125,125,125,125,45.65,46.65,48.25,50.25,11,11,11,12,0,0,1,0,1,1,Cape Flats,800.0000185,40000.00185
22658,7529,W46D_11_22658,18.51814113,-34.03185852,450.1618656,450.1618656,450.1618656,450.1618656,60,61,61,61,0,0,0,0,0,0,0,0,28,28,28,28,60,61,61,61,15,15,15,15,0,0,0,0,0,0,Cape Flats,799.9999883,39999.99883
22659,8308,W46D_11_22659,18.52030673,-34.03186699,522.0802289,522.0802289,522.0802289,522.0802289,45,48,50,52,0,0,20,44,0,0,0,0,101,101,116,116,45,48,51,54.2,11,12,12,13,1,1,2,0,1,1,Cape Flats,800.0000185,40000.00185
22660,7512,W46D_11_22660,18.52247232,-34.03187542,609.1626037,609.1626037,605.9783284,956.0630867,20,20,20,22,14,122,122,122,0,0,0,0,0,0,0,0,20.7,26.1,26.1,28.1,5,5,5,5,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
22661,7513,W46D_12_22661,18.52463791,-34.03188381,1241.521944,1241.521944,1241.521944,1241.521944,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,3,3,3,3,0,0,0,0,0,0,Cape Flats,800.0000185,40000.00185
